antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
"frozenset({'zcr_high', 'mfcc2_low'})","frozenset({'centroid_high', 'rolloff_high', 'Lombard'})",0.23005751437859465,0.21955488872218054,0.17079269817454362,0.7423913043478261,3.3813471823313854,1.0,0.12028244620544983,3.0295759593906912,0.9146915509922456,0.6125560538116591,0.6699208029756348,0.7601478161830246
"frozenset({'centroid_high', 'zcr_high', 'mfcc2_low'})","frozenset({'rolloff_high', 'Lombard'})",0.22030507626906726,0.23680920230057514,0.17079269817454362,0.775255391600454,3.2737553442557714,1.0,0.11862242880049845,3.395813599864612,0.8907848162607521,0.5965065502183406,0.7055197611435831,0.7482401562014942
"frozenset({'rolloff_high', 'zcr_high', 'mfcc2_low'})","frozenset({'centroid_high', 'Lombard'})",0.21230307576894222,0.24681170292573143,0.17079269817454362,0.8044758539458186,3.259472076929411,1.0,0.1183938145076404,3.8521497844340593,0.8800362546189779,0.5923677363399826,0.7404046945316496,0.7482359006304573
"frozenset({'pitch_high', 'rolloff_high'})","frozenset({'centroid_high', 'Lombard'})",0.194048512128032,0.24681170292573143,0.15503875968992248,0.7989690721649484,3.2371604048506875,1.0,0.10714531596139845,3.74662896493354,0.8574800076066178,0.5424321959755031,0.7330933995974863,0.7135676161230011
"frozenset({'mfcc2_low', 'centroid_high'})","frozenset({'rolloff_high', 'Lombard'})",0.25331332833208303,0.23680920230057514,0.1902975743935984,0.7512339585389931,3.172317423650933,1.0,0.13031064717917412,3.067905865355228,0.9170821697047896,0.634695579649708,0.6740447576007318,0.7774121218249348
"frozenset({'zcr_high', 'mfcc2_low'})","frozenset({'rolloff_high', 'Lombard'})",0.23005751437859465,0.23680920230057514,0.1727931982995749,0.7510869565217392,3.171696662228548,1.0,0.11831346183632681,3.0660940344256375,0.8893019281449567,0.5875850340136055,0.6738521425722264,0.740379803498462
"frozenset({'pitch_high', 'centroid_high'})","frozenset({'rolloff_high', 'Lombard'})",0.20655163790947736,0.23680920230057514,0.15503875968992248,0.7506053268765134,3.1696628322905775,1.0,0.10612543108270191,3.0601728101928405,0.8627014222827689,0.5377276669557676,0.6732210688660475,0.7026521882534627
"frozenset({'zcr_high', 'mfcc2_low'})","frozenset({'centroid_high', 'Lombard'})",0.23005751437859465,0.24681170292573143,0.17904476119029758,0.7782608695652175,3.1532575657460025,1.0,0.12226387429565569,3.396731535825134,0.8869073431299795,0.6011754827875735,0.7055993417633813,0.7518457336681204
"frozenset({'pitch_high', 'zcr_high'})","frozenset({'centroid_high', 'Lombard'})",0.1970492623155789,0.24681170292573143,0.15303825956489123,0.7766497461928934,3.1467298227207503,1.0,0.10440419557252403,3.3722294209916117,0.849628421907536,0.5262252794496991,0.7034602705927558,0.6983552682332248
"frozenset({'rolloff_high', 'zcr_high'})","frozenset({'centroid_high', 'Lombard'})",0.2585646411602901,0.24681170292573143,0.19479869967491872,0.7533849129593809,3.052468355546671,1.0,0.13098192027376687,3.0541047026462484,0.906884556020496,0.6272141706924315,0.6725718017677836,0.7713226489822234
"frozenset({'pitch_high', 'centroid_high'})","frozenset({'zcr_high', 'Lombard'})",0.20655163790947736,0.24381095273818454,0.15303825956489123,0.7409200968523003,3.038912274166512,1.0,0.10267870793654904,2.918748378683457,0.8455936424364894,0.5147182506307822,0.6573873899842424,0.6843062022723041
"frozenset({'mfcc3_low', 'rms_high'})","frozenset({'mfcc1_high', 'Lombard'})",0.17529382345586397,0.29457364341085274,0.15603900975243812,0.8901569186875892,3.0218484871236577,1.0,0.10440206950962547,6.422128259337562,0.8112910310833293,0.49721115537848604,0.8442883792384507,0.7099341469499066
"frozenset({'rolloff_high', 'mfcc2_low'})","frozenset({'centroid_high', 'Lombard'})",0.2558139534883721,0.24681170292573143,0.1902975743935984,0.7438905180840665,3.01400018421295,1.0,0.12715969690096943,2.9408840759808275,0.8979139290407359,0.6092874299439552,0.6599661958227695,0.7574569105111315
"frozenset({'centroid_high', 'rolloff_high', 'mfcc2_low'})","frozenset({'zcr_high', 'Lombard'})",0.2385596399099775,0.24381095273818454,0.17079269817454362,0.7159329140461215,2.9364263828414767,1.0,0.11262924508321379,2.6620086756006334,0.8660560119438295,0.5481540930979132,0.6243438238328174,0.708222867279471
"frozenset({'mfcc2_low', 'centroid_high'})","frozenset({'zcr_high', 'Lombard'})",0.25331332833208303,0.24381095273818454,0.17904476119029758,0.7068114511352418,2.8990143518870073,1.0,0.11728419726837186,2.5791902521084813,0.8772825326383457,0.5628930817610064,0.6122814130588069,0.7205852127471082
"frozenset({'mfcc3_low', 'mfcc1_high'})","frozenset({'rms_high', 'Lombard'})",0.19129782445611404,0.2895723930982746,0.15603900975243812,0.8156862745098039,2.8168647769988824,1.0,0.10064444093018754,3.8544476544668083,0.797568502925646,0.48036951501154734,0.7405594550386152,0.6772731890683734
frozenset({'mfcc1_high'}),"frozenset({'rms_high', 'Lombard'})",0.3300825206301575,0.2895723930982746,0.2535633908477119,0.7681818181818181,2.652814413565708,1.0,0.15798060542892658,3.064589676830971,0.9300277636051603,0.6926229508196718,0.6736920418546605,0.8219147432878001
frozenset({'rms_high'}),"frozenset({'mfcc1_high', 'Lombard'})",0.3300825206301575,0.29457364341085274,0.2535633908477119,0.7681818181818181,2.6077751196172243,1.0,0.15632978011944842,3.0430156558747514,0.9203093974392103,0.683288409703504,0.6713786213786213,0.814481401450841
"frozenset({'mfcc3_low', 'rms_high', 'mfcc1_high'})",frozenset({'Lombard'}),0.16279069767441862,0.49987496874218557,0.15603900975243812,0.9585253456221198,1.9175301936682625,1.0,0.07466401484091953,12.05857019810507,0.5715366809116809,0.3079960513326752,0.9170714285714284,0.6353407118305696
"frozenset({'mfcc3_low', 'mfcc1_high'})",frozenset({'Lombard'}),0.19129782445611404,0.49987496874218557,0.18254563640910226,0.9542483660130717,1.9089740948905822,1.0,0.08692064238865416,10.931304254635048,0.588793300632831,0.3588987217305801,0.9085196078431368,0.6597154786543598
"frozenset({'mfcc1_high', 'mfcc2_low'})",frozenset({'Lombard'}),0.1690422605651413,0.49987496874218557,0.16104026006501626,0.9526627218934911,1.9058020134327518,1.0,0.07654026534890787,10.565141285321326,0.5719743627605827,0.31708517971442635,0.9053491124260353,0.6374119012168806
"frozenset({'mfcc3_low', 'rms_high'})",frozenset({'Lombard'}),0.17529382345586397,0.49987496874218557,0.1662915728932233,0.948644793152639,1.8977641459816925,1.0,0.0786665783725251,9.738545747547992,0.5736153604143772,0.3267813267813267,0.8973152639087016,0.6406555631596111
"frozenset({'pitch_high', 'mfcc1_high'})",frozenset({'Lombard'}),0.17904476119029758,0.49987496874218557,0.16879219804951237,0.9427374301675977,1.8859464648525377,1.0,0.0792922036460603,8.733890789770603,0.572214212384788,0.33088235294117646,0.8855034916201115,0.6402031322924031
"frozenset({'rms_high', 'mfcc2_low'})",frozenset({'Lombard'}),0.1727931982995749,0.49987496874218557,0.1622905726431608,0.9392185238784371,1.8789068919409053,1.0,0.07591557804429852,8.228247538075,0.5654881568332268,0.3179813816756492,0.8784674384949348,0.63194042752201
"frozenset({'pitch_high', 'rms_high'})",frozenset({'Lombard'}),0.16829207301825455,0.49987496874218557,0.15678919729932483,0.9316493313521547,1.8637647203988326,1.0,0.07266420255976723,7.317046652967604,0.5572287741164533,0.306601466992665,0.8633328380386331,0.6226530798831809
"frozenset({'mfcc3_low', 'pitch_high'})",frozenset({'Lombard'}),0.17504376094023505,0.49987496874218557,0.16004001000250062,0.9142857142857144,1.8290288001143429,1.0,0.07254001547398602,5.834792031341174,0.549437329493786,0.31083050024283626,0.8286142857142857,0.6172228971628672
"frozenset({'mfcc6_low', 'rms_high'})",frozenset({'Lombard'}),0.17704426106526633,0.49987496874218557,0.16054013503375844,0.9067796610169491,1.814012938672726,1.0,0.0720401405677751,5.364977608038369,0.5452735725016116,0.3108958837772397,0.8136059322033896,0.6139701206535471
"frozenset({'rms_high', 'mfcc1_high'})",frozenset({'Lombard'}),0.2828207051762941,0.49987496874218557,0.2535633908477119,0.8965517241379308,1.7935519483879867,1.0,0.11218839968806901,4.834541968825531,0.6169268318849908,0.47920604914933834,0.7931551724137926,0.7019026754756688
frozenset({'mfcc1_high'}),frozenset({'Lombard'}),0.3300825206301575,0.49987496874218557,0.29457364341085274,0.8924242424242426,1.7852949201873667,1.0,0.12957365372851093,4.6490495863402534,0.6566009540341119,0.5502101821578702,0.7849022727272729,0.7408594448739523
frozenset({'rms_high'}),frozenset({'Lombard'}),0.3300825206301575,0.49987496874218557,0.2895723930982746,0.8772727272727274,1.7549843103369869,1.0,0.12457240341593279,4.075092847285901,0.642160190466244,0.5358630263766774,0.7546068181818184,0.7282811860475693
"frozenset({'mfcc3_low', 'mfcc5_low'})",frozenset({'Lombard'}),0.1795448862215554,0.49987496874218557,0.15728932233058265,0.8760445682451253,1.7525273778950756,1.0,0.06753932794276339,4.034716544304615,0.5233625794609713,0.3012452107279694,0.752151114206128,0.5953509484547288
"frozenset({'pitch_high', 'mfcc5_low'})",frozenset({'Lombard'}),0.18429607401850462,0.49987496874218557,0.16004001000250062,0.8683853459972863,1.7372051018725103,1.0,0.0679150157631931,3.799919051927932,0.5202411289086449,0.30534351145038163,0.7368364993215739,0.5942727130186531
"frozenset({'mfcc5_low', 'mfcc2_low'})",frozenset({'Lombard'}),0.17704426106526633,0.49987496874218557,0.1522880720180045,0.8601694915254238,1.720769282946558,1.0,0.06378807755202116,3.57665173869225,0.5089758155171665,0.290276453765491,0.7204088983050847,0.5824109088442526
"frozenset({'pitch_high', 'zcr_high', 'centroid_high'})",frozenset({'Lombard'}),0.1795448862215554,0.49987496874218557,0.15303825956489123,0.8523676880222841,1.7051617730871007,1.0,0.06328826517707196,3.387639362670857,0.5040438810899753,0.2907363420427554,0.704809192200557,0.5792603822802767
"frozenset({'pitch_high', 'rolloff_high', 'centroid_high'})",frozenset({'Lombard'}),0.183295823955989,0.49987496874218557,0.15503875968992248,0.8458390177353342,1.6921011665450731,1.0,0.06341376541934933,3.244173875327238,0.5008163285463129,0.29356060606060597,0.6917551159618006,0.5779970476370517
"frozenset({'pitch_high', 'zcr_high'})",frozenset({'Lombard'}),0.1970492623155789,0.49987496874218557,0.1652913228307077,0.8388324873096447,1.6780846006759724,1.0,0.06679132899003697,3.103137989221715,0.5032469230439427,0.31091251175917217,0.6777455583756344,0.5847489099879889
"frozenset({'pitch_high', 'centroid_high'})",frozenset({'Lombard'}),0.20655163790947736,0.49987496874218557,0.1727931982995749,0.8365617433414044,1.6735419767995379,1.0,0.06954320475592768,3.060024265325592,0.5072352058773764,0.32380506091846306,0.6732052058111381,0.5911172898798067
"frozenset({'pitch_high', 'mfcc2_low'})",frozenset({'Lombard'}),0.19904976244061015,0.49987496874218557,0.1662915728932233,0.8354271356783919,1.6712721938858874,1.0,0.06679157911508384,3.038927670849009,0.5014711302139206,0.312206572769953,0.6709365577889445,0.5840467344224876
"frozenset({'pitch_high', 'rolloff_high'})",frozenset({'Lombard'}),0.194048512128032,0.49987496874218557,0.16029007251812954,0.8260309278350516,1.652475077745058,1.0,0.06329007858366192,2.874792772267142,0.4899142909557524,0.3003748828491097,0.6521488402061856,0.5733456290000671
"frozenset({'centroid_high', 'rolloff_high', 'zcr_high', 'mfcc2_low'})",frozenset({'Lombard'}),0.20980245061265315,0.49987496874218557,0.17079269817454362,0.8140643623361145,1.6285359604712963,1.0,0.0659177047325097,2.6897750078545286,0.4884241154993791,0.316937354988399,0.6282216924910607,0.5778675988769116
"frozenset({'zcr_high', 'rolloff_high', 'mfcc2_low'})",frozenset({'Lombard'}),0.21230307576894222,0.49987496874218557,0.1727931982995749,0.8138987043580684,1.6282045616447802,1.0,0.06666820493570505,2.6873807059359796,0.48981600165391775,0.32035234121464995,0.6278904593639577,0.5797857703881388
"frozenset({'mfcc2_low', 'zcr_high', 'centroid_high'})",frozenset({'Lombard'}),0.22030507626906726,0.49987496874218557,0.17904476119029758,0.8127128263337118,1.625832212360437,1.0,0.06891976807655278,2.6703645608371804,0.4936935831234032,0.33086876155268025,0.6255192962542566,0.5854459579392421
"frozenset({'zcr_high', 'mfcc2_low'})",frozenset({'Lombard'}),0.23005751437859465,0.49987496874218557,0.18554638659664915,0.8065217391304348,1.6134469408617351,1.0,0.07054639378774424,2.584915891894322,0.4938147208855046,0.3408360128617363,0.6131402173913043,0.5888536659634165
frozenset({'mfcc3_low'}),frozenset({'Lombard'}),0.3300825206301575,0.49987496874218557,0.2650662665666417,0.8030303030303031,1.606462322070126,1.0,0.10006627688429987,2.5390963125396744,0.5635234211582751,0.4692341744134573,0.6061590909090909,0.6666477177982931
"frozenset({'mfcc2_low', 'centroid_high'})",frozenset({'Lombard'}),0.25331332833208303,0.49987496874218557,0.20230057514378594,0.7986179664363277,1.5976354416102423,1.0,0.07567558306180694,2.483464003255715,0.5009798507580077,0.3672265093054925,0.5973366238894371,0.6016601588059577
"frozenset({'mfcc2_low', 'rolloff_high', 'centroid_high'})",frozenset({'Lombard'}),0.2385596399099775,0.49987496874218557,0.1902975743935984,0.7976939203354297,1.5957868871542689,1.0,0.07104758185045136,2.472120620828782,0.4903206178026061,0.3471715328467153,0.5954889937106916,0.589192132754008
"frozenset({'rolloff_high', 'mfcc2_low'})",frozenset({'Lombard'}),0.2558139534883721,0.49987496874218557,0.20055013753438358,0.7839687194525904,1.568329619355132,1.0,0.07267514553056867,2.315058402609702,0.4869466957605984,0.36126126126126124,0.5680454545454544,0.5925846598763702
"frozenset({'rolloff_high', 'zcr_high', 'centroid_high'})",frozenset({'Lombard'}),0.25056264066016504,0.49987496874218557,0.19479869967491872,0.7774451097804391,1.555279136574275,1.0,0.06954870750695924,2.2471985709431843,0.47639552260861623,0.35058505850585053,0.555001497005988,0.5835699786020755
"frozenset({'zcr_high', 'centroid_high'})",frozenset({'Lombard'}),0.2800700175043761,0.49987496874218557,0.21580395098774693,0.7705357142857142,1.541456889158865,1.0,0.07580395974212356,2.1795332101507863,0.4879128318422008,0.38253546099290775,0.5411861607142855,0.6011257861073394
"frozenset({'rolloff_high', 'zcr_high'})",frozenset({'Lombard'}),0.2585646411602901,0.49987496874218557,0.19904976244061015,0.769825918762089,1.540036943036315,1.0,0.06979977052277572,2.1728121105906726,0.4729541467879024,0.3558337058560571,0.5397669245647968,0.584012509155932
frozenset({'pitch_high'}),frozenset({'Lombard'}),0.3300825206301575,0.49987496874218557,0.2503125781445361,0.7583333333333333,1.5170460230115057,1.0,0.0853125884621943,2.06948288796337,0.5087555221933722,0.43183779119930965,0.5167874999999998,0.6295418542604635
"frozenset({'rolloff_high', 'centroid_high'})",frozenset({'Lombard'}),0.2908227056764191,0.49987496874218557,0.21955488872218054,0.7549441100601891,1.5102658810058511,1.0,0.07417989781266271,2.040861092466099,0.47641814805414273,0.3844133099824868,0.5100107480653481,0.5970818599325458
frozenset({'mfcc2_low'}),frozenset({'Lombard'}),0.3300825206301575,0.49987496874218557,0.24856214053513379,0.753030303030303,1.5064373095638728,1.0,0.08356215085279198,2.0250461388353225,0.5018261866833702,0.4275268817204301,0.5061840909090909,0.6251394636712295
frozenset({'centroid_high'}),frozenset({'Lombard'}),0.3300825206301575,0.49987496874218557,0.24681170292573143,0.7477272727272728,1.49582859611624,1.0,0.08181171324338962,1.9824776013823282,0.4947985627264177,0.4232418524871354,0.4955806818181819,0.6207370730819955
frozenset({'zcr_high'}),frozenset({'Lombard'}),0.3300825206301575,0.49987496874218557,0.24381095273818454,0.7386363636363636,1.4776422302060122,1.0,0.07881096305584273,1.9135218587255511,0.4825164383954978,0.41595563139931735,0.47740340909090906,0.6131901177861658
frozenset({'rolloff_high'}),frozenset({'Lombard'}),0.3300825206301575,0.49987496874218557,0.23680920230057514,0.7174242424242424,1.4352073764154805,1.0,0.07180921261823334,1.7698794671858313,0.4526476608515605,0.3992411467116357,0.43498977272727263,0.5955805554292297
frozenset({'mfcc5_low'}),frozenset({'Lombard'}),0.3300825206301575,0.49987496874218557,0.2320580145036259,0.703030303030303,1.4064122970576196,1.0,0.06705802482128409,1.6840944930110078,0.4313530524771209,0.38812212463404433,0.4062090909090908,0.583631209544166
frozenset({'mfcc7_low'}),frozenset({'Lombard'}),0.3300825206301575,0.49987496874218557,0.2315578894723681,0.7015151515151515,1.4033812360725817,1.0,0.0665578997900263,1.6755457900008,0.4290606807446447,0.38696197241955704,0.40317954545454543,0.5823733836615277
